"exp","id","isold","condition1","rating","RT","excluding","trial"
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1250,"Include",321
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,550,"Include",322
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,750,"Include",323
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,1550,"Include",324
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,350,"Include",325
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,650,"Include",326
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,950,"Include",327
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",1,850,"Include",328
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,950,"Include",329
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1100,"Include",330
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,800,"Include",331
